epoch,loss,test_acc_top1,test_acc_top5
1,1.8330419201117296,33.11298,84.85577
2,0.9723429037974431,66.245995,97.135414
3,0.6750836785023029,76.64263,98.457535
4,0.606792763257638,80.629005,99.03846
5,0.6024416761520581,82.43189,99.058495
6,0.6075794712091104,83.05289,99.17869
7,0.6034149057590045,83.95433,99.27885
8,0.6020003631711006,84.59535,99.25881
9,0.5914949623820109,84.895836,99.35897
10,0.5766546291609606,85.57692,99.31891
11,0.5738029642364918,85.35657,99.31891
12,0.5675016069450439,85.97756,99.33894
13,0.5572175817229809,86.39824,99.559296
14,0.5488892493721766,86.63862,99.4992
15,0.5471157899651772,86.89904,99.51923
16,0.5350681917789655,87.25961,99.51923
