epoch,loss,test_acc_top1,test_acc_top5
1,1.8917258718074896,30.588942,80.66907
2,1.1075471884165056,60.73718,96.29407
3,0.749648032662196,73.89824,98.35737
4,0.6172464184271984,79.246796,98.89824
5,0.5649396918523006,81.410255,99.15865
6,0.5414142962067555,82.7524,99.21875
7,0.5321806124769725,83.69391,99.31891
8,0.5165308211476375,84.41506,99.35897
9,0.5123923369325124,84.995995,99.31891
10,0.5023753192180243,85.53686,99.379005
11,0.497076058617005,85.65705,99.4391
12,0.4912075855028935,86.01763,99.51923
13,0.4860586672066114,86.53846,99.51923
14,0.48463468635693574,86.879005,99.4992
15,0.48052462496054477,87.11939,99.59936
16,0.47663395546185666,87.29968,99.659454
