epoch,loss,test_acc_top1,test_acc_top5
1,1.7710090111463497,35.096153,87.4399
2,1.2049810511943622,56.35016,95.17228
3,0.7995323355381305,72.035255,97.83654
4,0.6395972676766224,77.864586,98.457535
5,0.5761873290324823,80.66907,99.07853
6,0.541809177551514,82.67228,99.25881
7,0.5274173179880167,83.613785,99.29888
8,0.5199265971015661,84.4351,99.379005
9,0.5106298283506663,84.79567,99.33894
10,0.503062139910001,85.3766,99.35897
11,0.4950020466095362,85.71715,99.53926
12,0.48804608493661267,86.01763,99.479164
13,0.4817524759624249,86.25801,99.61939
14,0.4739238764995184,86.4984,99.59936
15,0.46634907122605884,87.11939,99.4992
16,0.4618904994657406,87.159454,99.53926
