epoch,loss,test_acc_top1,test_acc_top5
1,2.222361757731438,19.76,68.92
2,1.370564011386037,53.38,94.22
3,0.9240604195334017,70.42,96.72
4,0.8171912197517232,74.4,96.82
5,0.7748386764685158,76.28,97.08
6,0.7364659563444554,77.7,97.36
7,0.702775410613045,79.16,97.46
8,0.6802817515067756,80.02,97.46
9,0.6560938054602593,80.82,97.86
10,0.6387544967809692,81.36,98.02
11,0.631149818315357,81.78,98.0
12,0.6230511305347085,82.06,98.26
13,0.6220373423960059,81.94,98.3
14,0.6167585715901106,82.3,98.12
15,0.6109964523572474,82.36,98.38
16,0.6148736979983747,82.24,98.28
17,0.6165377250127494,82.16,98.3
18,0.6042093914464116,82.86,98.14
19,0.5981170762196183,83.4,98.08
20,0.5964447246551514,83.28,98.0
