epoch,loss,test_acc_top1,test_acc_top5
1,2.223737287211418,16.4,68.78
2,1.4475025098651648,50.34,92.54
3,0.9543230023285374,69.46,96.72
4,0.8220349792979658,73.62,97.14
5,0.7723877506876364,76.06,97.3
6,0.740024034293741,77.68,97.44
7,0.7019449685813859,79.26,97.74
8,0.6781797783544287,80.22,97.84
9,0.657726055175066,80.9,97.8
10,0.6446778778892011,81.6,97.84
11,0.6444441162317991,81.42,98.0
12,0.6308546475321054,81.9,97.76
13,0.6156389146842063,82.76,97.94
14,0.6085024313732982,82.9,98.04
15,0.6067861925248057,82.84,98.0
16,0.5970326174013316,83.58,98.04
17,0.5957793265871704,83.46,98.08
18,0.5878099627383053,83.66,98.2
19,0.5939620981600136,83.2,98.14
20,0.5832542805597186,83.44,98.32
