epoch,loss,test_acc_top1,test_acc_top5
1,6.441521864670974,10.016026,51.702724
2,5.001824806898068,9.995994,65.08414
3,4.490758568812639,13.120994,53.385418
4,4.344145744274824,9.995994,57.431892
5,5.651003183462681,10.016026,62.940704
6,4.93578135355925,12.439904,61.398235
7,6.787205983430911,13.120994,63.88221
8,5.669526127668528,10.016026,61.318108
9,6.110289445290198,10.016026,63.721954
10,5.38782091324146,10.817307,51.66266
11,5.144009394523425,10.596955,55.94952
12,5.076916437882644,9.895833,50.160255
13,6.747371765283438,9.995994,54.10657
14,5.336213515355037,9.995994,55.26843
15,4.777222480529394,9.995994,58.01282
16,5.471176563165127,9.975962,49.358974
17,5.244521061579387,10.016026,54.427082
18,6.867289402546027,11.358173,64.683495
19,5.24036397995093,9.995994,55.1883
20,6.052574035448906,12.139423,53.345352
